Reference,Prediction
hĩ˧|mɤ˧hɤ˩hĩ˩ɳɯ˩|ʝi˧|pi˧|tsʰi˧ɲi˧ʝi˧|ɖɯ˧ɲi˧kv̩˧ʁɑ˧ʂe˥|le˧po˧tsʰɯ˧˥|wɤ˩˥|po˧ɖʐɯ˧mɤ˧dʑɤ˩hĩ˩|ɖɯ˧se˩|tɑ˧qɑ˧|tɑ˧qɑ˧|tɑ˧qɑ˧|pi˧|ɖɯ˧dɑ˩dɑ˩ɻ̍˩|wɤ˩˥|ɖɯ˧so˥|lo˧mɤ˧do˩|,hi[UNK]˧ mɤ˧hɯ˩hi[UNK]˩ɳɯ˩ jɤ˧ pi˧ ts[UNK]i˧ɲi˧hi[UNK]˧ ɖɯ˧ɲi˧kv[UNK]˧ ʁɑ˧ʂe˧ le˧po˧ts[UNK]ɯ˧˥ wɤ˩˥ po˧ɖʐɯ˧ mɤ˧dʑɤ˩hi[UNK]˩ ɖɯ˩se˩ tɑ˧qɑ˧tɑ˧qɑ˧tv[UNK]˧qɑ˧pi˧ ɖɯ˧dɑ˩dɑ˩ɻ[UNK]˩ wɤ˩˥ ɖɯ˧so˥ lo˧mɤ˧do˩
mɤ˧dɑ˩qʰwɤ˩zo˩|ə˧zɯ˧˥|ɖɯ˧zɯ˧|tʰi˧ɖɯ˧ɲi˥|tʰi˧ʂɯ˧ə˧ʝi˥|pi˧tsɯ˩|mv̩˩|,mɤ˧dɑ˩q[UNK]wɤ˧zo˧ ɻə˧zo˥ ɖɯ˧zo˥ t[UNK]i˧ɻɖɯ˧ɲi˥ t[UNK]i˧ʂæ˧ʝi˧ pi˧tsɯ˩ mv[UNK]˩
ʈʂʰɯ˧|qv̩˧ɻ̍˧ʈʂʰɯ˧ɭɯ˧|zo˩no˥|ə˧tso˧mɤ˧ɲi˩|zo˩no˥|njæ˧sɯ˩kv̩˩|dɑ˧pɤ˧qʰwæ˧qo˩hĩ˩qo˩|qv̩˧ɻ̍˧|tʰi˧ʑi˥kv̩˩mæ˩|,ʈʂ[UNK]ɯ˧ qv[UNK]˧ɻ[UNK]˧ʈʂ[UNK]ɯ˧zo˩no˥ ə˧tso˧mɤ˧ɲi˩ zo˩no˥ njæ˧sɯ˩kv[UNK]˩ dɑ˧pɤ˧ q[UNK]wɤ˥qwɑ˩qɑ˩ qv[UNK]˧ɻ[UNK]˧ t[UNK]i˧ʑi˥kv[UNK]˩mæ˩
mmm…|li˩tʰi˧tɕɯ˥|tsʰe˧tʰi˩tɕɯ˩|ʐɯ˧tʰi˧tɕɯ˥|ʑi˧qʰwɤ˧ʂɯ˧qo˥ɖɯ˩so˩dʑo˩|,mm[UNK]li˩t[UNK]i˧tɕɯ˩ ts[UNK]e˧t[UNK]i˩tɕɯ˩ ʐɯ˧t[UNK]i˧tɕɯ˥ ʑi˧q[UNK]wɤ˧ʂɯ˧qo˧ ɖɯ˧so˩dʑo˩
tʰv̩˧ne˧ʝi˥|ɖɯ˧ɖɯ˧ɲi˥|so˧ʂɯ˧|so˧tɕʰi˧|so˧ʂɯ˧|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧ ɖɯ˧ɲi˧ so˧ʂɯ˧ so˧tɕ[UNK]i˧ so˧ʂɯ˧
njæ˧sɯ˩kv̩˩dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|nɑ˩dʑi˧hṽ̩˧|mv̩˧ɲi˩mæ˩|ə˩gi˩|,njæ˧sɯ˩kv[UNK]˩dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ nɑ˩dʑi˧hv[UNK]˩mv[UNK]˩ɲi˩mæ˩ ə˩gi˩
mɤ˧bi˧ze˧|ə˧zɯ˩|zo˧tɕʰi˧tʰɑ˧kv̩˥kv̩˩|ə˧tso˧mɤ˧ɲi˩|tʰi˧di˩ze˩|,mɤ˧bi˧ze˧ ə˧zɯ˩ zo˧tɕ[UNK]i˧t[UNK]ɑ˩kwɤ˩kv[UNK]˥ ə˧tso˧mɤ˧ɲi˩ t[UNK]i˧di˩ze˩
mv̩˩tɕʰi˩bi˩zo˩ho˥ze˩|pi˧|tʰi˩˥|mv̩˩zo˩˥|ɖɯ˧ɭɯ˧ki˧|le˧ʂv̩˧po˧hɯ˧ɲi˥tsɯ˩|mv̩˩|,mmv[UNK]˩tɕ[UNK]i˩bi˩zo˩ho˥ze˩ pi˧ t[UNK]i˩˥ mv[UNK]˩zo˩˥ ɖɯ˧ɭɯ˧ki˩ le˧ ʂv[UNK]˧po˧hɯ˧ɲi˥tsɯ˩ mv[UNK]˩
tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|nɑ˩ʈʂʰɯ˥dʑo˩|v̩˩tsʰɤ˧˥|dʑɤ˩˥|dʑo˧mɤ˧kv̩˧˥|mæ˩|,t[UNK]i˩˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ nɑ˩ʈʂ[UNK]ɯ˥dʑo˩ v[UNK]˩ts[UNK]ɤ˧˥ dʑɤ˩˥ dʑo˧mɤ˧kv[UNK]˧˥ mæ˩
dʑɯ˧mɤ˧dʑo˧|ʂe˧|mv̩˧tʰi˧kʰɯ˧˥|v̩˧|ɖɯ˧ɭɯ˧po˧˥|hɑ˧dʑo˩|ɑ˩ʁo˧le˧tɕɤ˧hĩ˧po˧bi˧kv̩˩mæ˩|dʑɯ˧mɤ˧dʑo˧zo˧,dʑɯ˧mɤ˧dʑo˧ ʂe˧ mv[UNK]˧t[UNK]i˩k[UNK]ɯ˧˩˥ v[UNK]˧ ɖɯ˧ɭɯ˧po˧˥ hɑ˧dʑo˩w˩ ɑ˩ʁo˧ le˧tɕɤ˧hi[UNK]˧po˧˩pi˩kv[UNK]˩mæ˩ dʑɯ˧mɤ˧dʑo˧zo˩
õ˧ʈʂʰɯ˧bæ˧po˩ɳɯ˩|tʰi˩˥|si˧ʈʂʰɯ˧|dʑɯ˩ʁo˩˥|õ˧bv̩˥õ˩ɬɬɬ|tɕʰɤ˧tɕo˩po˩ɳɯ˩|le˧kɤ˩|,o[UNK]˧ʈʂ[UNK]ɯ˧bæ˧po˩ɳɯ˩ t[UNK]i˩˥ si˧ʈʂ[UNK]ɯ˧ dʑɯ˩ʁo˩˥ o[UNK]˧bv[UNK]˥o[UNK]˩ tɕ[UNK]ɤ˧tɕo˩ po˩ɳɯ˩ le˧kɤ˩
ʁɑ˧ze˧|ʁɑ˧ze˧|ʁɑ˧ze˧|pi˧|ɬo˧pv̩˥ti˩|pi˧|nɑ˩ʈʂʰɯ˧dʑo˩|tʰi˩˥|æ˧ʂæ˧dʑo˩|,ʁɑ˧ze˩ ʁɑze˧ ə˧ze˧ pi˧ɬo˧pv[UNK]˥ti˩ pi˧ nɑ˩ʈʂ[UNK]ɯ˥dʑo˩ t[UNK]i˩˥ æ˧ʂæ˧dʑo˩
ə˧mi˧|ə˧mi˧ɻæ˩|no˧bv̩˩|ʈʂʰɯ˧ɭɯ˧|wɤ˩˥|ʈʂʰɯ˧bv̩˧|ʈʂʰɯ˧ɭɯ˩ni˩|mɤ˧dʑɤ˩|ə˩gi˩|pi˧|,ə˧mi˧ ə˧mi˧ɻæ˩ no˧bv[UNK]˩ ʈʂ[UNK]ɯ˩˩ wɤ˩˥ ʈʂ[UNK]ɯ˧bv[UNK]˩ʈʂ[UNK]ɯ˩ɭ˩ni˩h˩ mɤ˧dʑo˩ ə˩gi˩ pi˧
tʰi˩˥|õ˧˥|ɑ˩ʁo˧ɳɯ˧|kʰv̩˧ʈʂʰɯ˧dʑo˧˥|pi˧dʑo˩|zo˩no˥|ɑ˩ʁo˧ɳɯ˧|ki˩˥ɑ˩ʁo˧hĩ˧ɳɯ˩|ki˩˥|ɑ˩ʁo˧ɳɯ˧|mɤ˧dʑo˩|pi˧dʑo˩|hĩ˧ʁɑ˧ʂe˥kv̩˩ze˩mæ˩|ʈʂʰɯ˧bv̩˧kʰv̩˧˥|ho˧ho˥hĩ˩|ɖɯ˧v̩˧ʁɑ˧ʂe˩|po˧jo˥|,t[UNK]i˩˥ o[UNK]˧˥ ɑ˩ʁo˧ɳɯ˧ k[UNK]v[UNK]˧ʈʂ[UNK]ɯ˧ dʑo˩˥ pi˧dʑo˩ zo˩no˥ ɑ˩ʁo˧ɳɯ˧ hi˩ ɑ˩ʁo˧hi[UNK]˧ɳɯ˩ki˩ ɑ˩ʁo˧ɳɯ˩ mɤ˧dʑo˩ pi˧dʑo˩ hi[UNK]˧ʁɑ˧ʂe˥kv[UNK]˩ze˩mæ˩ ʈʂ[UNK]ɯ˧bv[UNK]˧ k[UNK]v[UNK]˧˥ ho˧ho˥hi[UNK]˩ ɖɯ˧v[UNK]˧ʁɑ˧ʂe˧po˧jo˥
tʰi˩˥|mv̩˩zɯ˩ʈʂʰɯ˥|mv̩˩zɯ˩ʈʂʰɯ˥|ʈʰææ̃˧mɤ˧ki˧ɲi˥tsɯ˩|mv̩˩|mv̩˧ʁo˧ɻ̍˧ʈʂʰɯ˥|,t[UNK]i˩˥ mv[UNK]˩zɯ˩ʈʂ[UNK]ɯ˥ mv[UNK]˩zɯ˩ʈʂ[UNK]ɯ˥ ʈ[UNK]æ˧ mɤ˧ki˧ɲi˥tsɯ˩ mv[UNK]˩ mv[UNK]˧ʁo˧ʈʂ[UNK]ɯ˥
tʰi˩˥|no˧|le˧po˧po˥bi˩|si˧dzi˩ʈʰæ˩qo˩|nv̩˧kv̩˩mæ˩|,t[UNK]i˩˥ no˧ le˧po˧po˥bi˩ si˧dzi˩ʈ[UNK]æ˩qo˥ nv[UNK]˩ʝi˩kv[UNK]˩mæ˩
ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|li˩læ˩˥|dʑo˩|lo˧gv̩˩pi˩kv̩˩mæ˩|ə˩gi˩|,ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ li˩læ˩ɻ˥dʑo˩ lo˧gv[UNK]˩pi˩kv[UNK]˩mæ˩ ə˩gi˩
ə˧tso˧mɤ˧ɲi˩|hĩ˧ɖɯ˧v̩˧hĩ˧ʈʂʰɯ˥dʑo˩|dʑɤ˩hĩ˧ʝi˧zo˩kv̩˩|pi˧zo˩|ə˧tso˧mɤ˧ɲi˩|ə˧si˧ɳɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mæ˩|,ə˧tso˧mɤ˧ɲi˩ hi[UNK]˧ ɖɯ˧v[UNK]˧hi[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ dʑɤ˩hi[UNK]˥ʝi˧zo˧kv[UNK]˩ pi˧zo˩ ə˧tso˧mɤ˧ɲi˩ ə˧si˧ɳɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʐwɤ˩kv[UNK]˩˥ mv˩
tʰi˩˥|dzɑ˩qʰwɤ˩tʰi˩ki˥kʰɯ˩|,t[UNK]i˩˥ dzɑ˩q[UNK]wɤ˩t[UNK]i˩ki˥k[UNK]ɯ˩
ɖɯ˧pi˧˥|mɤ˧dʑɤ˩|tʰi˩˥|le˧pæ˥|pi˧dʑo˩|tʰi˩˥|ʈʂʰɯ˧|ɖɯ˧ɲi˧kʰv̩˧gv̩˧dʑo˩|tʰi˩˥|le˧pæ˧ɲi˥tsɯ˩|mv̩˩|,ɖɯ˧pi˧˥ mɤ˧dʑɤ˩ t[UNK]i˩˥ le˧pæ˩ pi˧dʑo˩ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ ɖɯ˧ɲi˧k[UNK]v[UNK]˧gv[UNK]˩dʑo˩ t[UNK]i˩˥ le˧pæ˧ɲi˥tsɯ˩ mv[UNK]˩
mv̩˩zɯ˩hɑ˩ʈʂʰɯ˥|ɖɯ˧pi˧˥|mɤ˧ʂo˩ɲi˩|,mv[UNK]˩zɯ˩hɑ˩ʈʂ[UNK]ɯ˥ ɖɯ˧pi˧˥ mɤ˧ʂo˩ɲi˩
tsʰe˧do˧ɖɯ˧ɲi˥dʑo˩|hĩ˧qʰo˧mɤ˧kv̩˥mæ˩|,ts[UNK]e˧do˧ɖɯ˧ɲi˥ dʑo˩ hi[UNK]˧ q[UNK]o˩mɤ˩kv[UNK]˥mæ˩
mɤ˧dʑo˧|mɤ˧tɕʰɯ˧˥|mɤ˧ʂv̩˧ɖv̩˧lɑ˧|ə˧mɑ˧|tʰi˧dʑo˩|ʂv̩˧ɖv̩˧ze˧jɤ|,mɤ˧dʑo˧ mɤ˧tɕ[UNK]ɯ˧˥ mɤ˧ʂv[UNK]˧ɖv[UNK]˧lɑ˧ə˧mɑ˧ t[UNK]i˧dʑo˩ əʂv[UNK]˧ɖv[UNK]˧ze˧j
hɑ˧|tʰi˧tɕɯ˥kʰi˩|ə˧mɑ˧|no˧hɑ˧dzɯ˥|ə˧mɑ˧|no˧|dʑɯ˧ʈʰɯ˧|pi˧zo˩|ŋv̩˩zo˩kv̩˥mæ˩|,hɑ˧ t[UNK]i˧tɕɯ˥k[UNK]i˩ ə˧mɑ˧ no˧ hɑ˧dzɯ˧ ə˧mɑ˧ no˧ dʑɯ˧ʈ[UNK]ɯ˧ pi˧zo˩ ŋv[UNK]˩zo˩kv[UNK]˥mæ˩
tʰi˩˥|æ˩qʰv̩˧qo˧lo˩hɯ˩dʑo˩|tʰi˩˥|ʈʂʰɯ˧v̩˧|hɯ˧li˧hɯ˧ɲi˥tsɯ˩mv̩˩|,t[UNK]i˩˥ æ˩q[UNK]v[UNK]˧qo˧lɑ˩hɯ˩dʑo˩ t[UNK]i˩˥ t[UNK]v[UNK]˧v[UNK]˧ hɯ˩ li˧hɯ˧ɲi˥tsɯ˩ mv[UNK]˩
tsʰi˧ʝi˧|ɖɯ˧kʰv̩˧hĩ˧bv̩˧|le˧se˩|,ts[UNK]i˧ʝi˧ ɖɯ˧k[UNK]v[UNK]˧hi[UNK]˧bv˧ le˧se˩
tʰi˩˥|le˧qʰwɤ˧dʑo˥|tʰi˩˥|dɑ˧pɤ˧|tʰv̩˧v̩˧ɳɯ˩|no˧ɻ̍˩dʑo˩hĩ˧dʑo˩|le˧qʰwɤ˧ʝi˧ze˧|,t[UNK]i˩˥ le˧q[UNK]wɤ˧dʑo˥ t[UNK]i˩˥ dɑ˧pɤ˧ t[UNK]v[UNK]˧v[UNK]˧ɳɯ˩ no˧ɻ[UNK]˩dʑo˩ hi[UNK]˧dʑo˩ le˧q[UNK]wɤ˧ʝi˧ze˧
ʈæ˧bɤ˧|ɖɯ˧v̩˧ki˧ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˥|,ʈæ˧bɤ˧ ɖɯ˧v[UNK]˧ki˧ɳɯ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧k[UNK]wɤ˥
wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧qo˥lv̩˩|tʰi˧tɕɯ˥|,wɤ˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧qo˧ɭɯ˧ t[UNK]i˧tɕɯ˥
dʑɯ˧qo˧tʰi˧kʰɯ˧˥|tʰi˩˥|õ˧bv̩˥õ˩|wɤ˩˥|le˧le˧fɑ˩|le˧dze˩|ə˩gi˩|,ʑi˧qo˧ t[UNK]i˧k[UNK]ɯ˧˥ t[UNK]i˩˥ o[UNK]˧bv[UNK]˥ wɤ˩˥ lle˧fæ˩ le˧ʑz˩ ə˩gi˩
əõ˧ʈʂʰɯ˧bæ˧|õ˧ʈʂʰɯ˧ne˧gv̩˧tsɯ˥|mv̩˩,i[UNK]˧ o[UNK]˧ʈt[UNK]v[UNK]˧bæ˧ɲi˥ o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝigv[UNK]˧tsɯ˥ mv[UNK]˩
gɯ˩ɳɯ˥|qʰæ˧ɳɯ˧|mɤ˧do˩|ə˧ʝi˧tsʰi˧ʝi˧|ʝi˧se˧|ʝi˧se˧tsɤ˧˥|ə˩gi˩|æ˧ʂæ˧qʰwɤ˧ʈʂʰɯ˥|ʈʂʰɯ˧ne˧ʝi˥|dʑo˧ɲi˥|,gɯ˧ɭq[UNK]æ˧ʑi˩ mɤ˧do˩ ə˧ʝi˧ts[UNK]i˧ʝi˧dʑo˩ w˩˥ ʝi˧ se˧ ʝi˧se˧tsɯ˧jə˩dʑo˩ æ˧ʂæ˧q[UNK]wɤ˧ʈʂ[UNK]ɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ dʑo˧ɲi˥
õ˧˥|ə˧tso˧ʝi˧tʰɑ˩|le˧ʝi˥tsɯ˩zo˩|njɤ˧|ə˧mɑ˧ɳɯ˧|njɤ˧ʁo˧tʰo˩ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˧ʐwɤ˧zo˥|njɤ˧|ɬi˧qʰv̩˧qo˩|mv̩˧zo˩|,o[UNK]˧˥ ə˧tso˧ʝi˧t[UNK]ɑ˩ le˧ʝi˥tsɯ˩zo˩ njɤ˧ ə˧mɑ˧ɳɯ˧ njɤ˧ʁo˧t[UNK]v[UNK]˩ɳɯ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧k[UNK]wɤ˧˥ ʐwɤ˧zo˥njɤ˧ ɬi˧q[UNK]v[UNK]˧qo˧mv[UNK]˧zo˩
njɤ˧|ə˧si˧ɳɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mv̩˩,njɤ˧ ə˧si˧ɳɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʐwɤ˩kv[UNK]˩˥ mæ˩
hɑ˧|dʑɤ˩hĩ˥|dzɯ˧tʰɑ˩kv̩˩ze˩|,hɑ˧ dʑɤ˩hi[UNK]˧ dzɯ˧tɑ˩kv[UNK]˩ze˩
tʰi˩˥|hĩ˧ʈʂʰɯ˧|æ˧ʂæ˧dʑo˩|tɕo˧˥ʂɯ˩|kʰv̩˧ʈʂʰɯ˧dʑo˩|zɯ˧ʐzɯ˧zɯ˧ʈʂʰɯ˧|dʑɤ˧˥|ki˧ɲi˥ho˩mæ˩|ə˧pɤ˧ɖɯ˩ɳɯ˩|tʰi˩˥|zo˩no˥|æ˧ʂæ˧ʈʂʰɯ˧|ɲi˩˥|zɯ˧zɯ˧|qʰɑ˩jɤ˩ɖɯ˩pi˥|ɖɯ˧pi˧ɻ̍˥|zo˩no˥|æ˧ʂæ˧ʈʂʰɯ˧|ʂe˧hɯ˧dʑo˥|tʰi˩˥|kʰv̩˩mi˩zɯ˩zɯ˩lɑ˥|ɖʐv̩˧nɑ˥mi˩|pi˧hĩ˧tʰv̩˧ʁo˥|zo˩no˥|zɯ˧zɯ˧ɖɯ˧ɲi˥tsɯ˩|mv̩˩|,t[UNK]i˩˥ hi[UNK]˧ʈʂ[UNK]ɯ˧ æ˧ʂæ˧dʑo˩ tɕo˧ʂɯ˧ k[UNK]v[UNK]˧ʈʂ[UNK]ɯ˧dʑo˩ zɯ˧zɯ˧zɯ˧ʈʂ[UNK]ɯ˧ dʑɤ˩˥ ki˧ɲi˥ho˩mæ˩ ə˩po˧˥ ɖɯ˩ɳɯ˩ t[UNK]i˩˥ zo˩no˥ æ˧ʂæ˧ʈʂ[UNK]ɯ˧ ɲi˩˥ zɯ˧zɯ˥ q[UNK]ɑ˩jɤ˩ɖɯ˩bi˥ zɯpi˧ zo˩no˥ æ˧ʂæ˧ʈʂɯ˧ ʂe˧hɯ˧dʑo˥ t[UNK]i˩˥ k[UNK]v[UNK]˩mi˩zɯ˩zɯ˩lɑ˥ ɖʐv[UNK]˧nɑ˥mi˩ pi˧hi[UNK]˧ʈʂ[UNK]ɯ˧ʁo˥ zo˩no˥ zɯ˧zɯ˧ɖɯ˩ɲi˩tsɯ˩ mv[UNK]˩
ə˧mv̩˧˥|dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|dʑɯ˩ʁo˩˥|kʰv̩˧ʂæ˧hɯ˧ɲi˥tsɯ˩|mv̩˩|,ə˧mv[UNK]˥dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ dʑɯ˩ʁo˩˥ k[UNK]v[UNK]˧ʂæ˧hɯ˧ɲi˥tsɯ˩ mv[UNK]˩
mi˩zɯ˩ɲi˥hĩ˩pi˩|le˧ʈʂʰæ˧ʈʂʰæ˧|ʁo˧qʰwɤ˩|le˧pv̩˩|,mi˩zɯ˩ɲi˥ pi˧ le˧ʈʂ[UNK]æ˧ʈʂ[UNK]æ˧ o˧q[UNK]wɤ˧ le˧pv[UNK]˩
ʂɯ˧kv̩˧hĩ˧ʈʂʰɯ˥dʑo˩|ɖɯ˧zo˧kv̩˧tsɯ˥|mv̩˩|ɲi˧tsi˧kv̩˧˥|mɤ˧lv̩˩bi˩|no˧|ʂɯ˧kv̩˧hĩ˧ʈʂʰɯ˥dʑo˩|qʰɑ˩ne˩˥|bi˧|ɖɯ˧zo˧kv̩˧˥|,ʂɯ˧kv[UNK]˧hi[UNK]˧ ʈʂ[UNK]ɯ˧dʑo˩ ɖɯ˧zo˧kv[UNK]˧tsɯ˥ mv[UNK]˩ ɲi˧ts[UNK]i˧kv[UNK]˧ mɤ˩lv[UNK]˩bi˩ no˧ ʂɯ˧kv[UNK]˧hi[UNK]˧ʈ[UNK]v[UNK]˧dʑo˩ q[UNK]ɑ˩ne˩˥ bi˩ ɖɯ˧zo˧kv[UNK]˧˥
le˧ŋv̩˩|le˧ŋv̩˩dʑo˩|tʰi˩˥|le˧ŋv̩˩se˩dʑo˩|mv̩˩zo˩˥|tʰi˧ʑi˧ze˥pi˩tsɯ˩|mv̩˩,le˧gv[UNK]˩ le˧ŋv[UNK]˩dʑo˩ t[UNK]i˩˥ le˧ŋv[UNK]˩se˩dʑo˩ mv[UNK]˩zo˥ t[UNK]i˧ʑi˧ze˥ pi˩tsɯ˩ mv[UNK]˩
dʑɯ˩nɑ˩mi˩ʁo˩˥|dʑo˩|ʑi˧qʰwɤ˧|mɤ˧di˩ɲi˩mæ˩|,dʑɯ˩nɑ˩mi˩ʁo˩˥dʑo˩ ʑi˧q[UNK]wɤ˧mɤ˧di˩ɲi˩mæ˩
gɤ˧lɑ˧ki˧|ki˧mɤ˧bi˧|gɤ˧lɑ˧ɳɯ˧|mɤ˧ki˧ɲi˥|pi˧zo˩|,gɤ˧lɑ˧ki˧ ki˧mɤ˧bi˧ gɤ˧lɑ˧ɳɯ˧ mɤ˧ki˧ɲi˥pi˩zo˩
lɑ˧mæ˧qv̩˩ʈʂʰɯ˩ɳɯ˩|põpõpi˧|le˧ɖwæ˧˥|dʑo˩|tʰi˩˥|si˧dzi˩tʰv̩˩|tsi˩qwæ˩tsi˧qwæ˧pi˧|qʰæ˧qʰæ˧tsɯ˧˥|mv̩˩|,lɑ˧mæ˧qo˩ʈʂ[UNK]ɯ˩ɳɯ˩ po˧po˩pi˩ lɑ˧ ɖwæ˧˥ dʑo˩ t[UNK]i˩˥ si˧dzi˩t[UNK]ɯ˩ dzɯ˩qwɤ˩wæ˧˥tsi˧qwæ˩pv[UNK]˩q[UNK]æ˩q[UNK]æ˩tsɯ˥ mv[UNK]˩
zo˩no˧dʑ|æ˧ʂæ˧|tsʰi˧si˩dʑɤ˩pv̩˩ɳɯ˩|le˧ti˧ɲi˥|ə˧pɤ˧ɖɯ˩ɳɯ˩|le˧ti˧ɲi˥|pi˧zo˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧kv̩˩tsɯ˩|mv̩˩,zo˩no˥ ətʂæ˧ʂæ˧ts[UNK]i˧sɯ˩dʑo˩ pv[UNK]˧ɳɯ˩ le˧ti˧˥ ɲi˥ ə˩pɤ˧ɖɯ˩ɳɯ˩ le˧to˧ɲi˥pi˩zo˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pi˧kv[UNK]˩tsɯ˩ mv[UNK]˩
õ˧bv̩˥õ˩|əəə…ɑ˩ʁo˧ʂɯ˧bi˧|wɤ˩˥|ʑi˧mi˧dʑɤ˩|pi˧dʑo˩|hĩ˧mo˥hĩ˩|le˧ʂɯ˧dʑo˥|nv̩˩mi˩qo˥|fv̩˩kv̩˩pi˥mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩|qwæ˧ʁo˧tɕɯ˧|,o[UNK]˧bv[UNK]˥o[UNK]˩ ə[UNK] ɑ˩ʁo˧ ʂɯ˧bi˧ wɤ˩˥ ʑi˧mi˧dʑɤ˩ pi˧dʑo˩ hi[UNK]˧mo˥hi[UNK]˩ le˧ʂɯ˧dʑo˩ nv[UNK]˩mi˩qo˥ fv[UNK]˧kv[UNK]˧pi˥hi[UNK]˩mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩ qwæ˧ʁo˧tɕɯ˧
tʰi˩˥|gi˩˥|gi˩˥|dʑo˩|ʈʂʰɯ˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩|hɤ˩˥|le˧ʐwæ˩zo˩|tʰi˩˥|hĩ˧ki˧|ɖɯ˧hɤ˧|dzɑ˧hĩ˧bi˥|tʰɑ˧li˧|,t[UNK]i˩˥ gi˩˥ gi˩˥ dʑo˩ ʈʂ[UNK]ɯ˧dʑo˧ ə˧ʝi˧ʂɯ˥ʝi˩ hɤ˧ le˧ʐwæ˩zo˩ t[UNK]i˩˥ hi[UNK]˧ki˧ ɖɯ˧hɯ˧ dzɑ˧hi[UNK]˧bi˥ t[UNK]ɑ˧li˧
əəə…mɤ˩mv̩˩ʈʂv̩˥ʂe˩pʰæ˩pi˩|ə˧ʝi˧ʂɯ˥ʝi˩|ʂe˧pʰæ˩hæ̃˩kv̩˩mæ˩|mɤ˩mv̩˩ʈʂv̩˥ʂe˩pʰæ˩pi˩|,əə[UNK]mɤ˩mv[UNK]˩ʈʂv[UNK]˧ʂe˩p[UNK]æ˩pi˩ ə˧ʝi˧ʂɯ˥ʝi˩ ʂe˧p[UNK]æ˩hæ[UNK]˩kv[UNK]˩mæ˩ mɤ˩mv[UNK]˩ʈʂv[UNK]˥ʂe˩p[UNK]æ˩pi˩
wɤ˩˥|ʈʂʰɯ˧ʑi˧ɻ̍˧ɳɯ˥|ŋv̩˧|tʰi˧ki˧kv̩˥mæ˩|,wɤ˩˥ ʈʂ[UNK]ɯ˧ʑi˧ɻ[UNK]˧ɳɯ˥ ŋv[UNK]˧ t[UNK]i˧ki˧kv[UNK]˧˥ mæ˩
